Item_No,SMU_F1_CogPosVal,SMU_F2_PhysPosVal,SMU_F3_BroadNegVal,SMU_F4_NegAtt,SMU_F5_Prog,SMU_F6_PosAtt,SMU_F7_CompSoc,SMU_F8_Flo
153,,,0.379546225,,,,,-0.256105081
251,,,0.376309522,0.289655197,,,,
133,,-0.274551412,0.36958088,,,,,
267,,,0.368757849,,,,,
4,,,0.366939629,,,,,
281,,,0.363025273,,,,,
9,,,0.362639528,,,,,
257,,,0.349666517,,,,,
271,,,0.329697662,,,,,
208,0.31751661,,0.328406089,,,,,
105,,,0.324862961,,,0.252306201,,
284,,-0.296126039,0.320869801,,,,,
309,,,0.296599138,,,,,
126,,-0.26292726,0.28570035,,,,,
65,,-0.253233655,0.278218437,,,,,
100,,,,0.805629335,,,,
158,,,,0.751409259,,,,
130,,,,0.724793918,,,,
156,,,,0.703286961,,,,
204,,,,0.700505203,,,,
43,,,,0.697604912,,,,
10,,,,0.69595977,,,,
182,,,,0.686669923,,,,
74,,,,0.68390587,,,,
72,,,,0.653334393,,,,
233,,,,0.649509595,,,,
287,,,,0.62211859,,,,
102,,,0.284270545,0.602223645,,,,
16,,,,0.577413031,,,0.255494711,
128,,,,0.544423196,,,,
131,,,,0.532853407,0.38674749,,,
256,,,0.260990596,0.494305572,,,,
13,,,,0.482997521,,,,
298,,,0.261005547,0.467615393,,,,
154,,,,0.448027153,,,,
48,,0.260599321,,0.438217714,0.380188086,,,
46,,,,0.407667805,,,,
44,,,,-0.407598381,,,,0.295103409
240,,,0.266441498,0.315168763,,,,
273,,,,,0.759181252,,,
18,,,,,0.749605732,,,
160,,,,,0.746880875,,,
47,,,,,0.723370724,,,
242,,,,,0.713352675,,,
132,,,,,0.709306458,,,
283,,,,,0.660562701,,,
159,,0.296528413,,,0.646941252,,,
184,,0.280089,,,0.646355905,,,
104,,,,,0.623721159,,,
75,,0.354359696,,,0.589167068,,,
103,,,,,0.587693302,,,
183,,,,,0.558524774,,,
76,,0.262260187,,,0.544895767,,,
200,,,,,0.367595961,,,
186,,,,,,,,
99,,,,,,0.795977885,,
45,,,,,,0.772294447,,
12,,,,,,0.760409611,,
181,,,,-0.256327825,,0.66728521,,
101,,0.299755146,,,,0.625552929,,
42,,,,,,0.598051963,,
127,,,,-0.292972461,,0.54938961,,
15,,0.472597286,,,,0.542004385,,
71,,0.254603374,,,,0.479916572,,
129,,,,,,0.470621268,,
73,,0.391590506,,,,0.469541416,,
14,,0.324650096,,0.35922204,,0.442747581,,
155,,,,,,0.43695878,0.343245308,
124,,,,,,0.424919225,0.342519792,
94,,,,,,0.41832142,0.401113893,
282,,0.363025759,0.293230846,,,0.408286673,,0.259387016
39,,,,,,0.336263719,,
122,,0.255359324,,,,0.271600503,,
255,,,,,,,,
178,,,,,,0.287938753,0.688757816,-0.254700827
8,,,,,,0.254344904,0.634366635,
152,,,,,,0.302856622,0.629871702,
96,,,,,,0.260100922,0.614540333,
5,,,,,,,0.547408417,
36,,,,,,,0.530134292,
201,,,,0.291200242,,,0.48496208,-0.410191407
176,,,,,,,0.46829999,
95,,0.315318433,,,,,-0.458812377,0.35473725
68,,,,,,0.326633356,0.449773083,
93,,,,,,,0.42461287,0.282714179
121,,,,,,,0.424212697,
66,,,,,,,0.374454264,
6,,,,,,,0.37390213,
149,,,,,,,0.369584486,
37,,,,,,,0.369189467,
151,,,,,,,-0.268944583,
222,,,,,,,,
116,,,,,,,,0.717392525
60,,,,,,,,0.576155482
31,,,,,,,,0.571507785
21,,,,,,,,0.517797642
172,,,,,,,,0.509260139
32,0.331434723,,,,,,,0.507952399
144,,,,,,,,0.503093226
170,,,,,,,,0.498116564
162,,,,,,,,0.491724774
61,,,,,,,,0.474387724
195,,,,,,,,0.459057203
217,,,,,,,,0.458744445
67,,,,,,,-0.318188582,0.440524518
78,,,,,,,,0.440050751
235,,,,,,,,0.433632178
108,0.307334476,,,,,,,0.404004654
250,,,,,,,,0.399002188
171,,,,,,,,0.3984909
279,,,,,,,,0.397787411
29,,,,,,,,0.397558582
23,0.31804898,,,,,,,0.389195633
117,0.315494852,,,,,,,0.371803785
50,,,,,,,,0.366594184
278,,,,,,,,0.365867066
194,,,,,,,,0.353500622
91,,,,,,,,0.349010729
145,,,0.302424177,,,,,-0.345805718
305,,,,,,,,0.341404266
179,,0.310280252,,,,,,0.329827761
223,,,0.272006514,0.313716577,,,,-0.322745606
30,,,,,,,0.258080884,0.299689167
134,,,0.289945747,,,,,-0.297006587
7,,,,,,,,0.280112877
88,,,,,,,,0.250903593
177,,,,,,,,
